Departamento,Mes,Anio,Weekday,Hora,Zona,Dia_Mes,Tipo_Accidente,Tipo_Vehiculo,Color_Vehiculo,Modelo_Vehiculo,Edad,Sexo,Condicion_Conductor,accidentes_totales,hoja_origen,vehiculos_involucrados_accidentes,victimas_totales,lesionados_totales,fallecidos_totales,tasa_victimas_involucradas,tasa_lesionados,tasa_fallecidos
Guatemala,,2020,,,,,,,,,,,,2676.0,cuadro 1,,,,,,,
El Progreso,,2020,,,,,,,,,,,,124.0,cuadro 1,,,,,,,
Sacatepéquez,,2020,,,,,,,,,,,,202.0,cuadro 1,,,,,,,
Chimaltenango,,2020,,,,,,,,,,,,229.0,cuadro 1,,,,,,,
Escuintla,,2020,,,,,,,,,,,,440.0,cuadro 1,,,,,,,
Santa Rosa,,2020,,,,,,,,,,,,197.0,cuadro 1,,,,,,,
Sololá,,2020,,,,,,,,,,,,81.0,cuadro 1,,,,,,,
Totonicapán,,2020,,,,,,,,,,,,49.0,cuadro 1,,,,,,,
Quetzaltenango,,2020,,,,,,,,,,,,197.0,cuadro 1,,,,,,,
Suchitepéquez,,2020,,,,,,,,,,,,201.0,cuadro 1,,,,,,,
Retalhuleu,,2020,,,,,,,,,,,,203.0,cuadro 1,,,,,,,
San Marcos,,2020,,,,,,,,,,,,147.0,cuadro 1,,,,,,,
Huehuetenango,,2020,,,,,,,,,,,,113.0,cuadro 1,,,,,,,
Quiché,,2020,,,,,,,,,,,,106.0,cuadro 1,,,,,,,
Baja Verapaz,,2020,,,,,,,,,,,,96.0,cuadro 1,,,,,,,
Alta Verapaz,,2020,,,,,,,,,,,,296.0,cuadro 1,,,,,,,
Petén,,2020,,,,,,,,,,,,206.0,cuadro 1,,,,,,,
Izabal,,2020,,,,,,,,,,,,230.0,cuadro 1,,,,,,,
Zacapa,,2020,,,,,,,,,,,,141.0,cuadro 1,,,,,,,
Chiquimula,,2020,,,,,,,,,,,,130.0,cuadro 1,,,,,,,
Jalapa,,2020,,,,,,,,,,,,121.0,cuadro 1,,,,,,,
Jutiapa,,2020,,,,,,,,,,,,165.0,cuadro 1,,,,,,,
Guatemala,,2021,,,,,,,,,,,,3450.0,cuadro 1,,,,,,,
El Progreso,,2021,,,,,,,,,,,,170.0,cuadro 1,,,,,,,
Sacatepéquez,,2021,,,,,,,,,,,,270.0,cuadro 1,,,,,,,
Chimaltenango,,2021,,,,,,,,,,,,297.0,cuadro 1,,,,,,,
Escuintla,,2021,,,,,,,,,,,,615.0,cuadro 1,,,,,,,
Santa Rosa,,2021,,,,,,,,,,,,238.0,cuadro 1,,,,,,,
Sololá,,2021,,,,,,,,,,,,109.0,cuadro 1,,,,,,,
Totonicapán,,2021,,,,,,,,,,,,77.0,cuadro 1,,,,,,,
Quetzaltenango,,2021,,,,,,,,,,,,253.0,cuadro 1,,,,,,,
Suchitepéquez,,2021,,,,,,,,,,,,229.0,cuadro 1,,,,,,,
Retalhuleu,,2021,,,,,,,,,,,,222.0,cuadro 1,,,,,,,
San Marcos,,2021,,,,,,,,,,,,182.0,cuadro 1,,,,,,,
Huehuetenango,,2021,,,,,,,,,,,,141.0,cuadro 1,,,,,,,
Quiché,,2021,,,,,,,,,,,,186.0,cuadro 1,,,,,,,
Baja Verapaz,,2021,,,,,,,,,,,,137.0,cuadro 1,,,,,,,
Alta Verapaz,,2021,,,,,,,,,,,,380.0,cuadro 1,,,,,,,
Petén,,2021,,,,,,,,,,,,266.0,cuadro 1,,,,,,,
Izabal,,2021,,,,,,,,,,,,237.0,cuadro 1,,,,,,,
Zacapa,,2021,,,,,,,,,,,,154.0,cuadro 1,,,,,,,
Chiquimula,,2021,,,,,,,,,,,,166.0,cuadro 1,,,,,,,
Jalapa,,2021,,,,,,,,,,,,146.0,cuadro 1,,,,,,,
